Sweep Target,Sweep Value,Year,Cumulative Cash
R&D Multiplier,1.5,9,60445143.50453173
R&D Multiplier,1.5,10,70440143.50453174
R&D Multiplier,1.6,0,-13725000.0
R&D Multiplier,1.6,1,-9249025.679758303
R&D Multiplier,1.6,2,-4773051.359516607
R&D Multiplier,1.6,3,-297077.03927491046
R&D Multiplier,1.6,4,9697922.96072509
R&D Multiplier,1.6,5,19692922.96072509
R&D Multiplier,1.6,6,29687922.96072509
R&D Multiplier,1.6,7,39682922.96072509
R&D Multiplier,1.6,8,49677922.96072509
R&D Multiplier,1.6,9,59672922.96072509
R&D Multiplier,1.6,10,69667922.9607251
R&D Multiplier,1.7,0,-14075000.0
R&D Multiplier,1.7,1,-9739765.861027185
R&D Multiplier,1.7,2,-5404531.722054371
R&D Multiplier,1.7,3,-1069297.5830815565
R&D Multiplier,1.7,4,8925702.416918444
R&D Multiplier,1.7,5,18920702.41691844
R&D Multiplier,1.7,6,28915702.41691844
R&D Multiplier,1.7,7,38910702.41691844
R&D Multiplier,1.7,8,48905702.41691844
R&D Multiplier,1.7,9,58900702.41691844
R&D Multiplier,1.7,10,68895702.41691844
R&D Multiplier,1.8,0,-14425000.0
R&D Multiplier,1.8,1,-10230506.042296067
R&D Multiplier,1.8,2,-6036012.084592135
R&D Multiplier,1.8,3,-1841518.1268882025
R&D Multiplier,1.8,4,8153481.8731117975
R&D Multiplier,1.8,5,18148481.8731118
R&D Multiplier,1.8,6,28143481.8731118
R&D Multiplier,1.8,7,38138481.8731118
R&D Multiplier,1.8,8,48133481.8731118
R&D Multiplier,1.8,9,58128481.8731118
R&D Multiplier,1.8,10,68123481.8731118
R&D Multiplier,1.9,0,-14775000.0
R&D Multiplier,1.9,1,-10721246.223564949
R&D Multiplier,1.9,2,-6667492.447129899
R&D Multiplier,1.9,3,-2613738.6706948485
R&D Multiplier,1.9,4,7381261.3293051515
R&D Multiplier,1.9,5,17376261.32930515
R&D Multiplier,1.9,6,27371261.32930515
R&D Multiplier,1.9,7,37366261.32930515
R&D Multiplier,1.9,8,47361261.32930515
R&D Multiplier,1.9,9,57356261.32930515
R&D Multiplier,1.9,10,67351261.32930514
R&D Multiplier,2.0,0,-15125000.0
