x_idle,y_idle,x_cruise,y_cruise,x_max,y_max
3348.992338,54.46725318,5628.059499,63.69684667,6857.112356,75.73632385
3576.238399,55.24926686,5778.783737,62.10232303,7638.546891,75.1434661
3920.037506,54.46725318,6771.78269,60.83305351,8171.829699,74.25619698
4158.714412,55.44477028,7428.056173,59.5607314,8981.454574,73.17150075
4411.584003,55.24926686,8477.42563,58.92853872,9479.978638,71.98924383
4804.408704,55.54252199,9803.737598,59.36078635,10489.9766,70.51070213
5063.702382,56.81329423,11488.36565,56.49577215,11298.70404,69.03273687
5232.782468,57.49755621,12354.41241,54.26508746,12088.00091,67.55491572
5442.574952,56.71554252,13823.00874,51.82346836,13019.92844,66.07695046
5550.3554,55.6402737,15162.63738,49.70008242,13467.24398,65.09197653
5887.579085,54.76050831,16305.66795,47.68216368,13467.95899,64.30457382
6453.866962,54.6627566,16853.33278,46.0879453,14024.91308,63.31945579
6846.292729,54.46725318,18243.95876,41.94267224,14703.90193,62.13734298
7309.910735,53.29423265,18981.72707,39.17854635,15107.06962,60.95566248
7602.881844,52.31671554,19749.33003,37.26548429,15946.13082,59.28127887
7959.945997,51.9257087,18364.89807,40.77276474,16383.68549,57.80432236
8668.34162,51.53470186,17768.11351,43.43081291,17177.0977,56.42535886
9317.336051,52.12121212,17304.67942,44.59980463,17888.50794,54.55441278
9754.793268,51.53470186,15775.8,48.53170121,18503.82626,52.97888683
10146.01213,50.94819159,14099.73349,50.86693733,18883.30602,51.89577578
10763.21394,51.14369501,12939.22241,53.41616044,19141.45317,50.51753282
11048.60252,50.0684262,,,,
11341.99461,49.57966764,,,,
11874.58749,49.09090909,,,,
12431.95049,48.30889541,,,,
12846.07228,47.82013685,,,,
13626.30067,46.64711632,,,,
14171.69692,44.88758553,,,,
14546.43592,42.7370479,,,,
15327.96737,40.48875855,,,,
16046.70294,39.02248289,,,,
16579.64122,37.06744868,,,,
17470.29797,34.72140762,,,,
17932.72112,32.96187683,,,,
18407.97439,31.69110459,,,,
